"family","med_AC","med_C","log2FC","W","p","p_adj","sig"
"Deinococcaceae",1.0489,21.7796,-4.299,15,8.23032388927504e-17,3.78594898906652e-15,"***"
"Hungateiclostridiaceae",0.6479,0.1268,1.961,1923,1.56145401053465e-08,3.59134422422969e-07,"***"
"Christensenellaceae",0.5336,0.1883,2.399,1899,4.24141319843585e-08,6.50350023760164e-07,"***"
"Eggerthellaceae",0.2841,0.1042,1.675,1817,1.04621578422837e-06,8.02098767908414e-06,"***"
"Micrococcaceae",3.1719,5.3325,-0.657,482,9.30244834298816e-07,8.02098767908414e-06,"***"
"uncultured",0.1329,0.0148,2.662,1818,9.09103422763735e-07,8.02098767908414e-06,"***"
"Peptostreptococcales-Tissierellales",0.7008,0.1314,2.382,1782.5,3.41091932365423e-06,2.24146126982992e-05,"***"
"Anaerovoracaceae",0.3551,0.1447,2.057,1759,8.13921436471077e-06,4.68004825970869e-05,"***"
"Intrasporangiaceae",1.4777,0.7154,1.565,1749.5,1.20299236403554e-05,5.94090156022066e-05,"***"
"KD4-96",0.0345,0,3.494,1675.5,1.42065037309624e-05,5.94090156022066e-05,"***"
"Lachnospiraceae",2.7585,1.0156,1.695,1746,1.3670001559607e-05,5.94090156022066e-05,"***"
"[Eubacterium]_coprostanoligenes_group",0.2017,0.0789,2.244,1735.5,1.77544094768223e-05,6.80585696611521e-05,"***"
"Saccharimonadaceae",0.9857,0.3774,1.678,1722.5,2.87423370581852e-05,0.000101703654205886,"***"
"Nocardioidaceae",1.7791,0.9788,0.915,1699,6.20643802540233e-05,0.000203925820834648,"***"
"Devosiaceae",0.4225,0.2708,1.585,1685,9.42732287347869e-05,0.000289104568120013,"***"
"Oscillospiraceae",0.8444,0.3544,2.287,1673,0.000134682006721398,0.00038721076932402,"***"
"Saccharimonadales",0.0751,0,2.048,1614,0.000446414137174944,0.00120794413588514,"**"
"Rhodobacteraceae",1.6888,1.0616,0.822,1599,0.00106865979787507,0.00268899121202568,"**"
"Ruminococcaceae",0.295,0.1246,1.609,1594.5,0.00116912661392421,0.00268899121202568,"**"
"UCG-010",0.0355,0,3.7,1573,0.00114076581682121,0.00268899121202568,"**"
"Arcobacteraceae",0.0639,0,1.962,1560,0.00174872061189735,0.00383053086415609,"**"
"Dietziaceae",1.3673,0.7518,1.182,1570,0.00221712009896158,0.00463579657055603,"**"
"Corynebacteriaceae",43.753,34.5364,0.472,1542,0.00431573410734365,0.0086314682146873,"**"
"Caulobacteraceae",0.6896,0.4799,0.724,1506,0.00958777655615894,0.018376571732638,"*"
"Methyloligellaceae",0,0,2.249,1431,0.0179452892060605,0.0330193321391514,"*"
"IMCC26256",0,0,3.176,1390,0.0361139900726446,0.0638939824362174,"."
"JG30-KF-CM45",0.2519,0.2107,0.636,1419,0.0504847689925365,0.0860110879132104,"."
"F082",0.0251,0,1.911,1404,0.0533967075317232,0.0877231623735453,"."
"Clostridiaceae",6.7733,6.0512,0.367,1406,0.0632323551087517,0.10029959775871,"ns"
"Rhizobiaceae",0.9604,0.8885,0.596,1392,0.0792445350543174,0.121508287083287,"ns"
"Gemmataceae",0.0089,0,1.462,1353,0.117871081010086,0.174905475047224,"ns"
"Xanthobacteraceae",0.2903,0.2087,1.825,1353.5,0.137682235168434,0.197918213054624,"ns"
"Micromonosporaceae",0.0982,0.2332,-0.302,955,0.144823970939105,0.201875838278752,"ns"
"Brevibacteriaceae",0.118,0.1332,3.216,1341.5,0.152731869463673,0.206637235156734,"ns"
"Ilumatobacteraceae",0.0529,0.042,1.527,1318,0.211672341903522,0.278197935073201,"ns"
"Microbacteriaceae",1.5393,1.5626,0.437,1316,0.230890752554063,0.295027072707969,"ns"
"Nakamurellaceae",0.0399,0.0442,1.17,1299,0.26640465923042,0.331205792556738,"ns"
"Beijerinckiaceae",0.4879,0.5209,0.646,1297,0.289669878070402,0.350653010295749,"ns"
"Peptostreptococcaceae",0.3624,0.4232,0.124,1273,0.377215048469111,0.433834519746616,"ns"
"Sphingomonadaceae",2.53,2.603,0.15,1273,0.377247408475319,0.433834519746616,"ns"
"Pseudonocardiaceae",0.0812,0.2576,0.547,1043,0.425301739916154,0.477167805759587,"ns"
"Anaplasmataceae",0,0,-0.681,1215,0.491280490969322,0.538069109156876,"ns"
"Nocardiaceae",0.1739,0.3729,0.09,1075,0.574723810712724,0.614820820762449,"ns"
"Mycobacteriaceae",0.1433,0.2527,0.444,1103,0.722098585421851,0.754921248395571,"ns"
"Dermabacteraceae",0,0.0548,3.14,1165,0.922335662540854,0.942832010597317,"ns"
"Streptomycetaceae",0.0294,0.0617,1.152,1152,1,1,"ns"
