"horse","age","age3","PC1","PC2","PC3","PC4","richness"
"5",5,"young (<7)",-0.125979652856929,0.00603962825805745,-0.00927837548348678,-0.00273269550168092,39
"3",6,"young (<7)",-0.0489394665016759,-0.0065644780539108,-0.00672577762703453,0.0107699250515334,40
"4",7,"mid (7-13)",-0.176500896364836,-0.0741913685452598,-0.00159170399607178,0.00321236957519879,37.5
"9",7,"mid (7-13)",-0.196780735385108,-0.0489909384166302,0.00762368349028428,0.00977549748452082,38
"11",8,"mid (7-13)",-0.0986974734952773,-0.0346938558397098,-0.0139248674992788,-0.00828422674544677,36.5
"13",8,"mid (7-13)",-0.0867635474542386,-0.0630582881155375,-0.0179897369595144,-0.0225056336766225,32.5
"12",10,"mid (7-13)",-0.108917927427293,0.0110950994483183,-0.00616042892990252,0.00422361923610397,37
"2",10,"mid (7-13)",-0.118203735759758,0.00198926829927675,-0.00507860677453967,0.00958938204417492,42
"8",10,"mid (7-13)",-0.00934893171355334,-0.0577989170002621,0.00276869341966744,0.00868181538927403,37.5
"10",14,"old (>13)",-0.149125635255978,-0.0417601598460485,0.00336683126347806,0.0164871505806789,37
"6",15,"old (>13)",-0.07341201922884,-0.0426806640215073,-0.00607627875478556,-0.0114713852383818,38.5
"7",15,"old (>13)",-0.10319986354722,0.0174989965499818,-0.0212042837610903,-0.0358328857117612,31.5
