"family","MDA","source"
"Deinococcaceae",26.8236426823572,"env-shared"
"Intrasporangiaceae",19.2968576035513,"animal-only"
"Dietziaceae",14.6788651591023,"animal-only"
"UCG-010",13.8578146454256,"animal-only"
"Brevibacteriaceae",13.4567345951975,"animal-only"
"Dermabacteraceae",13.2798519590205,"animal-only"
"Hungateiclostridiaceae",13.1178542897351,"animal-only"
"Eggerthellaceae",12.7407843277867,"animal-only"
"uncultured",11.7221071156965,"env-shared"
"Micrococcaceae",11.6727167908825,"env-shared"
"Christensenellaceae",10.9326724300959,"env-shared"
"Oscillospiraceae",9.94316647491586,"env-shared"
"Lachnospiraceae",9.70230515774638,"env-shared"
"Saccharimonadaceae",9.49956861510346,"animal-only"
"Peptostreptococcales-Tissierellales",9.4635868351905,"animal-only"
"Ruminococcaceae",7.91177959816728,"env-shared"
"Devosiaceae",7.86629634519086,"env-shared"
"Anaerovoracaceae",7.80380493890304,"animal-only"
"[Eubacterium]_coprostanoligenes_group",7.12147439937938,"env-shared"
"Arcobacteraceae",6.44488668065952,"animal-only"
"Corynebacteriaceae",6.19923980418611,"env-shared"
"Clostridiaceae",6.05948082032964,"env-shared"
"Xanthobacteraceae",5.84461706283155,"animal-only"
"Saccharimonadales",5.58071533378618,"animal-only"
"Beijerinckiaceae",5.53139341694633,"env-shared"
"Nocardiaceae",5.45875181821591,"animal-only"
"KD4-96",4.9092205205007,"animal-only"
"Rhodobacteraceae",4.838051446731,"env-shared"
"Sphingomonadaceae",4.67247477873992,"env-shared"
"Pseudonocardiaceae",4.52062724823245,"animal-only"
"IMCC26256",4.1349262299525,"animal-only"
"Nocardioidaceae",3.95390688590868,"animal-only"
"Ilumatobacteraceae",3.73154433351661,"animal-only"
"Methyloligellaceae",3.63420545474846,"animal-only"
"F082",3.55417876764008,"animal-only"
"Micromonosporaceae",3.55320521133815,"animal-only"
"Caulobacteraceae",3.20846162239029,"env-shared"
"JG30-KF-CM45",3.20145575335335,"animal-only"
"Streptomycetaceae",2.96166820737681,"animal-only"
"Nakamurellaceae",2.79647145342818,"animal-only"
"Gemmataceae",2.76065918193304,"animal-only"
"Microbacteriaceae",2.63804176167072,"animal-only"
"Rhizobiaceae",2.24453573227796,"animal-only"
"Peptostreptococcaceae",2.22163600153342,"animal-only"
"Mycobacteriaceae",1.1371554746302,"env-shared"
"Anaplasmataceae",-1.9856381554045,"animal-only"
